scenario;region;sector;subsector;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin_id;sector_name;subRegion
CO2B;AR;water_td_pri_W;ArkWhtRedR;ArkWhtRedR;0.00139644;0.00107565;0.0246995;0.00223946;0.00224755;0.00221004;0.00200209;0.00150324;0.00113255;6.50E-04;2.54E-04;km^3;224;Mining;Arkansas_White_Red
CO2B;AR;water_td_pri_W;MissppRS;MissppRS;0.0012652;9.75E-04;0.0223782;0.002029;0.00203632;0.00200234;0.00181393;0.00136196;0.00102611;5.89E-04;2.30E-04;km^3;219;Mining;Lower_Mississippi_River
CO2B;AZ;water_td_an_W;MexCstNW;MexCstNW;5.53E-04;2.95E-04;7.19E-04;0.00103627;0.00109977;0.00116849;0.00122588;0.0012996;0.00133445;0.00140794;0.00148974;km^3;96;Livestock;Mexico_Northwest_Coast
CO2B;AZ;water_td_an_W;UsaColoRN;UsaColoRN;4.79E-04;2.55E-04;6.23E-04;8.98E-04;9.53E-04;0.00101215;0.00106187;0.00112572;0.00115591;0.00121957;0.00129042;km^3;220;Livestock;Upper_Colorado_River
CO2B;AZ;water_td_an_W;UsaColoRS;UsaColoRS;0.0255828;0.0136254;0.0332621;0.047926;0.050863;0.0540411;0.0566955;0.0601049;0.0617167;0.0651158;0.0688985;km^3;221;Livestock;Lower_Colorado_River
CO2B;AZ;water_td_elec_W;MexCstNW;MexCstNW;0.00250299;0.00323489;0.0036441;0.00334117;0.00321487;0.00363372;0.00340765;0.00284873;0.00251067;0.00276483;0.00269281;km^3;96;Electricity;Mexico_Northwest_Coast
CO2B;AZ;water_td_elec_W;UsaColoRN;UsaColoRN;0.00398597;0.0051515;0.00580317;0.00532076;0.00511962;0.00578663;0.00542661;0.00453655;0.0039982;0.00440294;0.00428825;km^3;220;Electricity;Upper_Colorado_River
CO2B;AZ;water_td_elec_W;UsaColoRS;UsaColoRS;0.330404;0.427016;0.481035;0.441047;0.424374;0.479664;0.449821;0.376042;0.331417;0.364967;0.355461;km^3;221;Electricity;Lower_Colorado_River
CO2B;AZ;water_td_ind_W;MexCstNW;MexCstNW;0.00755946;0.0010411;5.99E-04;2.84E-04;3.31E-04;3.78E-04;4.35E-04;4.97E-04;5.70E-04;6.79E-04;8.05E-04;km^3;96;Manufacturing;Mexico_Northwest_Coast
CO2B;AZ;water_td_ind_W;UsaColoRN;UsaColoRN;0.0026028;3.58E-04;2.06E-04;9.77E-05;1.14E-04;1.30E-04;1.50E-04;1.71E-04;1.96E-04;2.34E-04;2.77E-04;km^3;220;Manufacturing;Upper_Colorado_River
CO2B;AZ;water_td_ind_W;UsaColoRS;UsaColoRS;0.21504;0.0296157;0.0170439;0.00807341;0.00940169;0.0107593;0.0123867;0.0141274;0.016222;0.0193222;0.0229055;km^3;221;Manufacturing;Lower_Colorado_River
CO2B;AZ;water_td_irr_MexCstNW_W;MexCstNW;MexCstNW;0.0332318;0.0394159;0.0392552;0.0411605;0.0428172;0.0453919;0.0469049;0.0566985;0.0629677;0.0695215;0.0745318;km^3;96;Irrigation;Mexico_Northwest_Coast
CO2B;AZ;water_td_irr_UsaColoRN_W;UsaColoRN;UsaColoRN;0.00147573;0.00165235;0.00172336;0.00177805;0.00189189;0.00219764;0.00226138;0.00289457;0.00310264;0.003064;0.00336213;km^3;220;Irrigation;Upper_Colorado_River
CO2B;AZ;water_td_irr_UsaColoRS_W;UsaColoRS;UsaColoRS;2.11491;2.4427;2.06644;2.12804;2.24281;2.63647;2.94849;3.88062;4.38685;4.86397;5.27265;km^3;221;Irrigation;Lower_Colorado_River
CO2B;AZ;water_td_muni_W;MexCstNW;MexCstNW;0.00489021;0.00792115;0.00821558;0.00807353;0.00882993;0.00954175;0.0100696;0.0104215;0.0107616;0.0110592;0.0113485;km^3;96;Municipal;Mexico_Northwest_Coast
CO2B;AZ;water_td_muni_W;UsaColoRN;UsaColoRN;0.0120641;0.0195415;0.0202678;0.0199174;0.0217834;0.0235395;0.0248417;0.0257097;0.0265488;0.0272831;0.0279966;km^3;220;Municipal;Upper_Colorado_River
CO2B;AZ;water_td_muni_W;UsaColoRS;UsaColoRS;1.00323;1.62503;1.68544;1.6563;1.81147;1.9575;2.06579;2.13798;2.20775;2.26881;2.32815;km^3;221;Municipal;Lower_Colorado_River
CO2B;AZ;water_td_pri_W;MexCstNW;MexCstNW;9.31E-04;9.08E-04;5.09E-04;5.26E-04;5.28E-04;5.19E-04;4.70E-04;3.53E-04;2.66E-04;1.53E-04;5.96E-05;km^3;96;Mining;Mexico_Northwest_Coast
CO2B;AZ;water_td_pri_W;UsaColoRN;UsaColoRN;0.00203541;0.00198335;0.00111314;0.00114889;0.00115304;0.0011338;0.00102711;7.71E-04;5.81E-04;3.34E-04;1.30E-04;km^3;220;Mining;Upper_Colorado_River
CO2B;AZ;water_td_pri_W;UsaColoRS;UsaColoRS;0.165371;0.161141;0.0904389;0.0933439;0.0936807;0.0921174;0.0834497;0.0626569;0.0472061;0.0270999;0.0105745;km^3;221;Mining;Lower_Colorado_River
CO2B;CA;water_td_an_W;California;California;0.21093;0.216543;0.235587;0.229597;0.243667;0.258892;0.271608;0.287934;0.295615;0.311667;0.327998;km^3;217;Livestock;California_River
CO2B;CA;water_td_an_W;California;desalination;0;0;0;5.73E-10;8.30E-09;1.01E-07;8.24E-07;7.31E-06;4.79E-05;2.80E-04;0.00207094;km^3;217;Livestock;California_River
CO2B;CA;water_td_an_W;GreatBasin;GreatBasin;8.45E-04;8.68E-04;9.44E-04;9.20E-04;9.76E-04;0.00103746;0.00108842;0.00115387;0.00118482;0.00125007;0.00132269;km^3;222;Livestock;Great
CO2B;CA;water_td_an_W;UsaColoRS;UsaColoRS;0.00401388;0.00412071;0.0044831;0.00436911;0.00463685;0.00492658;0.00516857;0.00547938;0.00562632;0.00593619;0.00628103;km^3;221;Livestock;Lower_Colorado_River
CO2B;CA;water_td_an_W;UsaColoRS;desalination;0;0;0;0;0;0;0;0;0;3.80E-10;1.36E-09;km^3;221;Livestock;Lower_Colorado_River
CO2B;CA;water_td_an_W;UsaPacNW;UsaPacNW;1.95E-05;2.00E-05;2.18E-05;2.12E-05;2.25E-05;2.39E-05;2.51E-05;2.66E-05;2.73E-05;2.89E-05;3.05E-05;km^3;229;Livestock;Pacific_Northwest
CO2B;CA;water_td_elec_W;California;California;0.129539;0.149783;0.158247;0.121662;0.0844496;0.0922915;0.091375;0.0977691;0.120735;0.197426;0.292876;km^3;217;Electricity;California_River
CO2B;CA;water_td_elec_W;California;desalination;0;0;0;3.04E-10;2.88E-09;3.60E-08;2.77E-07;2.48E-06;1.96E-05;1.78E-04;0.00184919;km^3;217;Electricity;California_River
CO2B;CA;water_td_elec_W;GreatBasin;GreatBasin;3.42E-04;3.96E-04;4.18E-04;3.21E-04;2.23E-04;2.44E-04;2.41E-04;2.58E-04;3.19E-04;5.22E-04;7.78E-04;km^3;222;Electricity;Great
CO2B;CA;water_td_elec_W;UsaColoRS;UsaColoRS;0.00170216;0.00196818;0.00207939;0.00159866;0.00110968;0.00121273;0.00120069;0.00128474;0.00158674;0.00259654;0.00387274;km^3;221;Electricity;Lower_Colorado_River
CO2B;CA;water_td_elec_W;UsaColoRS;desalination;0;0;0;0;0;0;0;0;0;1.66E-10;8.39E-10;km^3;221;Electricity;Lower_Colorado_River
CO2B;CA;water_td_elec_W;UsaPacNW;UsaPacNW;1.53E-05;1.77E-05;1.87E-05;1.44E-05;9.98E-06;1.09E-05;1.08E-05;1.16E-05;1.43E-05;2.34E-05;3.48E-05;km^3;229;Electricity;Pacific_Northwest
CO2B;CA;water_td_ind_W;California;California;0.175939;0.0986406;0.546729;0.544203;0.597952;0.655223;0.687319;0.717001;0.749922;0.78521;0.851738;km^3;217;Manufacturing;California_River
CO2B;CA;water_td_ind_W;California;desalination;0;0;2.22E-10;1.36E-09;2.04E-08;2.56E-07;2.08E-06;1.82E-05;1.22E-04;7.06E-04;0.00537778;km^3;217;Manufacturing;California_River
CO2B;CA;water_td_ind_W;GreatBasin;GreatBasin;4.08E-04;2.29E-04;0.00126675;0.0012609;0.00138544;0.00151813;0.0015925;0.00166131;0.00173783;0.00182094;0.00198591;km^3;222;Manufacturing;Great
CO2B;CA;water_td_ind_W;UsaColoRS;UsaColoRS;0.00143359;8.04E-04;0.00445486;0.00443428;0.00487223;0.00533889;0.00560044;0.00584242;0.00611151;0.0064038;0.00698396;km^3;221;Manufacturing;Lower_Colorado_River
CO2B;CA;water_td_ind_W;UsaColoRS;desalination;0;0;0;0;0;0;0;0;1.01E-10;4.09E-10;1.51E-09;km^3;221;Manufacturing;Lower_Colorado_River
CO2B;CA;water_td_ind_W;UsaPacNW;UsaPacNW;2.29E-04;1.29E-04;7.12E-04;7.09E-04;7.79E-04;8.54E-04;8.95E-04;9.34E-04;9.77E-04;0.00102386;0.00111661;km^3;229;Manufacturing;Pacific_Northwest
CO2B;CA;water_td_irr_California_W;California;California;19.1514;24.7351;25.3184;25.1579;26.4285;28.8846;30.6029;35.4256;37.6492;39.7326;40.191;km^3;217;Irrigation;California_River
CO2B;CA;water_td_irr_California_W;California;desalination;0;0;0;0;0;0;0;0;0;5.58E-10;3.97E-09;km^3;217;Irrigation;California_River
CO2B;CA;water_td_irr_GreatBasin_W;GreatBasin;GreatBasin;0.0154291;0.0156155;0.0159911;0.0157561;0.0164871;0.0180276;0.0180578;0.0210484;0.0224994;0.022744;0.0243348;km^3;222;Irrigation;Great
CO2B;CA;water_td_irr_UsaColoRS_W;UsaColoRS;UsaColoRS;0.308009;0.351665;0.292927;0.301658;0.317928;0.373731;0.417961;0.550095;0.621856;0.689489;0.747421;km^3;221;Irrigation;Lower_Colorado_River
CO2B;CA;water_td_irr_UsaPacNW_W;UsaPacNW;UsaPacNW;5.15E-04;5.21E-04;5.50E-04;5.48E-04;5.64E-04;6.10E-04;6.36E-04;7.55E-04;8.18E-04;8.78E-04;9.29E-04;km^3;229;Irrigation;Pacific_Northwest
CO2B;CA;water_td_muni_W;California;California;8.42366;10.2427;8.75354;7.15821;7.47907;7.75774;7.99529;8.14602;8.27137;8.34362;8.28431;km^3;217;Municipal;California_River
CO2B;CA;water_td_muni_W;California;desalination;0;1.35E-09;3.56E-09;1.79E-08;2.55E-07;3.03E-06;2.43E-05;2.07E-04;0.00134158;0.00750161;0.0523062;km^3;217;Municipal;California_River
CO2B;CA;water_td_muni_W;GreatBasin;GreatBasin;0.0198083;0.0240858;0.020584;0.0168326;0.0175871;0.0182424;0.018801;0.0191559;0.0194533;0.0196377;0.0196036;km^3;222;Municipal;Great
CO2B;CA;water_td_muni_W;UsaColoRS;UsaColoRS;0.046419;0.0564431;0.0482368;0.0394457;0.0412138;0.0427494;0.0440586;0.0448902;0.0455872;0.0460193;0.0459393;km^3;221;Municipal;Lower_Colorado_River
CO2B;CA;water_td_muni_W;UsaColoRS;desalination;0;0;0;0;0;0;0;1.88E-10;7.55E-10;2.94E-09;9.96E-09;km^3;221;Municipal;Lower_Colorado_River
CO2B;CA;water_td_muni_W;UsaPacNW;UsaPacNW;5.19E-04;6.32E-04;5.40E-04;4.41E-04;4.61E-04;4.78E-04;4.93E-04;5.02E-04;5.10E-04;5.15E-04;5.14E-04;km^3;229;Municipal;Pacific_Northwest
