scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;AK;gas_base_CC_CCS;0;0;0;0;0;0;1.08E-04;1.96E-04;4.01E-04;0.001220045;0.002342631;EJ;gas;w/ CCS;b natural gas;Alaska
CO2B;AK;gas_int_CC;0.00451749;0.0063075;0.00871393;0.00809451;0.00383991;0.00392683;0.005164942;0.005022599;0.004870613;0.004215271;0.003369375;EJ;gas;no CCS;b natural gas;Alaska
CO2B;AK;gas_int_CC_CCS;0;0;0;0;0;0;2.20E-05;3.88E-04;0.001100729;0.003162054;0.006174483;EJ;gas;w/ CCS;b natural gas;Alaska
CO2B;AK;gas_peak_CC;4.95E-05;1.01E-04;7.68E-05;8.54E-05;4.10E-05;4.24E-05;5.54E-05;4.68E-05;3.79E-05;2.75E-05;1.85E-05;EJ;gas;no CCS;b natural gas;Alaska
CO2B;AK;gas_peak_CC_CCS;0;0;0;0;0;0;9.88E-09;7.30E-08;2.47E-07;8.06E-07;1.64E-06;EJ;gas;w/ CCS;b natural gas;Alaska
CO2B;AK;gas_peak_steam/CT;3.67E-05;3.54E-05;5.95E-05;4.51E-05;2.14E-05;2.18E-05;1.90E-05;1.80E-05;1.60E-05;7.89E-06;4.38E-06;EJ;gas;no CCS;b natural gas;Alaska
CO2B;AK;gas_subpeak_CC;2.78E-04;5.19E-04;5.53E-04;6.15E-04;2.95E-04;3.04E-04;4.05E-04;3.54E-04;3.09E-04;2.70E-04;2.29E-04;EJ;gas;no CCS;b natural gas;Alaska
CO2B;AK;gas_subpeak_CC_CCS;0;0;0;0;0;0;3.98E-07;3.57E-06;1.17E-05;3.74E-05;7.71E-05;EJ;gas;w/ CCS;b natural gas;Alaska
CO2B;AK;gas_subpeak_steam/CT;2.06E-04;1.82E-04;4.28E-04;3.25E-04;1.54E-04;1.58E-04;1.54E-04;1.50E-04;1.43E-04;9.27E-05;6.27E-05;EJ;gas;no CCS;b natural gas;Alaska
CO2B;AK;hydro_base;0.0033073;0.0053769;5.24E-03;0.0057253;0.00571985;0.00495019;0.0066679;0.0066689;0.0066539;0.0065981;0.0066055;EJ;hydro;no CCS;f hydro;Alaska
CO2B;AK;refined liquids_base_steam/CT;1.37E-04;2.79E-04;1.85E-03;0.001619272;2.66E-05;6.36E-05;4.39E-05;5.16E-05;3.04E-05;5.98E-06;1.98E-06;EJ;refined liquids;no CCS;refined liquids;Alaska
CO2B;AK;refined liquids_int_steam/CT;0.001094029;0.002234845;0;0;0;0.00E+00;0;0;0;0;0;EJ;refined liquids;no CCS;refined liquids;Alaska
CO2B;AK;refined liquids_subpeak_steam/CT;1.37E-04;2.79E-04;0;0;0;0;0;0;0;0;0;EJ;refined liquids;no CCS;refined liquids;Alaska
CO2B;AK;rooftop_pv;0;0;0;0;4.14E-07;2.19E-06;9.41E-06;3.95E-05;1.08E-04;2.38E-04;4.19E-04;EJ;rooftop_pv;no CCS;h solar;Alaska
CO2B;AK;wind_base;0.00E+00;2.20E-06;4.56E-05;5.82E-04;4.98E-04;4.31E-04;0.003032863;0.005627593;0.008518273;0.01412947;0.02133065;EJ;wind;no CCS;g wind;Alaska
CO2B;AK;wind_base_offshore;0;0;0;0;0;0.00E+00;1.24E-04;3.18E-04;6.13E-04;0.001456967;0.002675087;EJ;wind;no CCS;g wind;Alaska
CO2B;AK;wind_base_storage;0;0;0;0;0;0;5.28E-05;1.33E-04;2.57E-04;6.33E-04;0.00118303;EJ;wind;no CCS;g wind;Alaska
