scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;MI;hydro_base;0.0054462;0.0052623;0.0044656;0.0053612;0.0062603;0.0062507;0.0062438;0.0062448;0.0062308;0.0061785;0.0061854;EJ;hydro;no CCS;f hydro;Central East
CO2B;MI;nuc_base_Gen II;0.0824681;0.1226866;0.1108709;0.109984;0.1083957;0.1052259;0.0965149;0.0768696;0.0472078;0.0215447;0;EJ;nuclear;no CCS;e nuclear;Central East
CO2B;MI;nuc_base_Gen III;0;0;0;0;0;0;0.0276661;0.0586136;0.0861123;0.1358401;0.1981807;EJ;nuclear;no CCS;e nuclear;Central East
CO2B;MI;refined liquids_peak_steam/CT;0;0;6.77E-04;0.00176247;9.06E-04;7.77E-04;3.54E-04;5.16E-04;3.21E-04;7.19E-05;1.90E-05;EJ;refined liquids;no CCS;refined liquids;Central East
CO2B;MI;refined liquids_subpeak_steam/CT;0.0032204;0.00373929;6.77E-04;0.00192253;0.00135213;0.00104967;4.78E-04;6.58E-04;4.14E-04;9.87E-05;2.64E-05;EJ;refined liquids;no CCS;refined liquids;Central East
CO2B;MI;rooftop_pv;0;0;0;0;6.69E-05;1.98E-04;0.00121424;0.00238527;0.00388507;0.00593382;0.00725418;EJ;rooftop_pv;no CCS;h solar;Central East
CO2B;MI;wind_base;0;3.90E-06;7.82E-04;0.0104938;0.0388079;0.0574084;0.1324963;0.1905818;0.2331134;0.2893324;0.3401456;EJ;wind;no CCS;g wind;Central East
CO2B;MI;wind_base_offshore;0;0;0;0;0;0.00130456;0.01589746;0.03153816;0.04580916;0.07207956;0.1059111;EJ;wind;no CCS;g wind;Central East
CO2B;MI;wind_base_storage;0;0;0;0;7.50E-04;0.001182553;0.003314963;0.005504213;0.007345553;0.010526963;0.01362479;EJ;wind;no CCS;g wind;Central East
CO2B;MI;wind_int;0;1.60E-06;3.26E-04;0.00437245;0.00437245;0.00437245;0.00437245;0.00437245;0.00437245;0;0;EJ;wind;no CCS;g wind;Central East
CO2B;MI;wind_subpeak;0;1.00E-06;1.96E-04;0.0026234;0.0026234;0.0026234;0.0026234;0.0026234;0.0026234;0;0;EJ;wind;no CCS;g wind;Central East
CO2B;MN;PV_base_storage;0;0;0;0;1.39E-05;2.93E-05;1.34E-04;2.76E-04;3.69E-04;6.00E-04;7.78E-04;EJ;solar;no CCS;h solar;Central Northwest
CO2B;MN;PV_int;0;0;0;0;0.00229522;0.00518763;0.01622953;0.02718553;0.03672767;0.05890547;0.07396945;EJ;solar;no CCS;h solar;Central Northwest
CO2B;MN;PV_peak;0;0;0;0;4.31E-04;7.73E-04;0.001410611;0.001664164;0.002264048;0.003424638;0.004316467;EJ;solar;no CCS;h solar;Central Northwest
CO2B;MN;PV_subpeak;0;0;0;1.32E-05;5.78E-05;2.51E-04;0.001717707;0.002315644;0.004279644;0.017559945;0.023249354;EJ;solar;no CCS;h solar;Central Northwest
CO2B;MN;biomass_base_IGCC;0;0;0;0;1.25E-04;2.20E-04;6.48E-04;6.98E-04;1.63E-04;8.72E-05;3.63E-05;EJ;biomass;no CCS;d biomass;Central Northwest
CO2B;MN;biomass_base_IGCC_CCS;0;0;0;0;0;0;5.57E-04;0.002367862;0.003933979;0.007847261;0.011891547;EJ;biomass;w/ CCS;d biomass;Central Northwest
CO2B;MN;biomass_base_conv;9.66E-04;0.001280812;0.002976555;0.002666516;4.63E-04;6.23E-04;0.002018398;9.04E-04;1.49E-04;6.74E-05;2.58E-05;EJ;biomass;no CCS;d biomass;Central Northwest
CO2B;MN;biomass_base_conv_CCS;0;0;0;0;0;0;0.00106268;0.00579975;0.00968345;0.01772204;0.02606254;EJ;biomass;w/ CCS;d biomass;Central Northwest
CO2B;MN;biomass_int_IGCC;0;0;0;0;1.81E-05;3.12E-05;5.53E-05;9.48E-05;7.48E-05;7.29E-05;4.69E-05;EJ;biomass;no CCS;d biomass;Central Northwest
CO2B;MN;biomass_int_IGCC_CCS;0;0;0;0;0;0;1.55E-05;6.55E-05;1.39E-04;4.76E-04;9.05E-04;EJ;biomass;w/ CCS;d biomass;Central Northwest
CO2B;MN;biomass_int_conv;9.66E-04;0.001280812;0.002976555;0.002666527;0.001289236;0.001552798;0.001813813;9.07E-04;1.54E-04;8.00E-05;4.43E-05;EJ;biomass;no CCS;d biomass;Central Northwest
CO2B;MN;biomass_int_conv_CCS;0;0;0;0;0;0;2.93E-05;1.32E-04;2.78E-04;9.06E-04;0.00169253;EJ;biomass;w/ CCS;d biomass;Central Northwest
CO2B;MN;coal_base_IGCC_CCS;0;0;0;0;0;0;0.001830978;0.00402949;0.005220146;0.005961448;0.004975824;EJ;coal;w/ CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul;0.0557834;0.0708706;0.0564925;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1951-1955;0;0;0;5.19E-04;5.09E-04;4.76E-04;1.48E-04;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1956-1960;0;0;0;0.0065706;0.00647235;0.00615553;0.002021119;9.43E-05;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1961-1965;0;0;0;9.98E-04;9.62E-04;8.56E-04;2.29E-04;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1971-1975;0;0;0;0.00516206;0.00515996;0.00515578;0.002056813;1.71E-04;1.16E-05;1.68E-07;1.40E-08;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1976-1980;0;0;0;0.02560146;0.02468638;0.02196523;0.00588628;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1981-1985;0;0;0;9.13E-05;9.13E-05;9.13E-05;3.66E-05;3.08E-06;2.24E-07;4.11E-09;6.56E-10;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1986-1990;0;0;0;0.01190982;0.01159096;0.01060826;0.00307776;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul 1996-2000;0;0;0;3.19E-05;3.19E-05;3.19E-05;1.28E-05;1.08E-06;7.84E-08;1.46E-09;1.63E-10;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul_CCS;0;0;0;0;0;0;0.002054633;0.004346422;0.005454366;0.005375593;0.003907675;EJ;coal;w/ CCS;c coal;Central Northwest
CO2B;MN;coal_base_conv pul_retire_2020;0.002522196;0.00320436;0.002554259;0.002300685;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_IGCC_CCS;0;0;0;0;0;0;1.28E-04;4.29E-04;7.80E-04;0.001855202;0.002789938;EJ;coal;w/ CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul;0.0459362;0.054235;0.0464529;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1951-1955;0;0;0;3.99E-04;3.91E-04;3.66E-04;2.10E-04;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1956-1960;0;0;0;0.00505311;0.00497838;0.00473482;0.002875451;5.13E-04;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1961-1965;0;0;0;7.68E-04;7.40E-04;6.59E-04;3.26E-04;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1971-1975;0;0;0;0.00396987;0.00396892;0.00396581;0.002926231;9.29E-04;1.52E-04;8.24E-06;8.13E-07;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1976-1980;0;0;0;0.01968884;0.01898813;0.01689565;0.00837443;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1981-1985;0;0;0;7.02E-05;7.02E-05;7.02E-05;5.20E-05;1.68E-05;2.93E-06;2.02E-07;3.80E-08;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1986-1990;0;0;0;0.00915923;0.00891549;0.00815985;0.00437874;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul 1996-2000;0;0;0;2.45E-05;2.45E-05;2.45E-05;1.82E-05;5.86E-06;1.03E-06;7.16E-08;1.41E-08;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul_CCS;0;0;0;0;0;0;1.51E-04;4.83E-04;8.46E-04;0.001894141;0.002758385;EJ;coal;w/ CCS;c coal;Central Northwest
CO2B;MN;coal_int_conv pul_retire_2020;0.002076968;0.002452184;0.00210033;0.001769343;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_peak_conv pul;5.52E-04;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_peak_conv pul_retire_2020;2.50E-05;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_subpeak_conv pul;0.00361117;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;coal_subpeak_conv pul_retire_2020;1.63E-04;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northwest
CO2B;MN;gas_base_CC;2.50E-04;0.00168192;0.002459065;0.00392368;0.00693222;0.013223858;0.019826574;0.017664908;0.00737946;0.00182645;7.18E-04;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;gas_base_CC_CCS;0;0;0;0;0;0;0.00666429;0.01472308;0.02002768;0.03036236;0.03518474;EJ;gas;w/ CCS;b natural gas;Central Northwest
CO2B;MN;gas_int_CC;6.85E-05;4.61E-04;0.001922268;0.0174324;0.01783735;0.02011881;0.02096721;0.02275324;0.02063798;0.01315836;0.006203554;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;gas_int_CC_CCS;0;0;0;0;0;0;0.00136501;0.00426954;0.00764377;0.0188389;0.02929216;EJ;gas;w/ CCS;b natural gas;Central Northwest
CO2B;MN;gas_peak_CC;1.23E-04;0.001068721;0.001155344;0.00138872;0.001193153;0.001092528;8.83E-04;7.10E-04;4.65E-04;1.48E-04;5.05E-05;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;gas_peak_CC_CCS;0;0;0;0;0;0;4.77E-07;9.28E-07;2.39E-06;6.43E-06;1.17E-05;EJ;gas;w/ CCS;b natural gas;Central Northwest
CO2B;MN;gas_peak_steam/CT;9.13E-05;3.76E-04;8.95E-04;7.34E-04;6.00E-04;5.26E-04;2.21E-04;1.49E-04;5.39E-05;6.81E-06;1.24E-06;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;gas_subpeak_CC;6.47E-04;0.00561348;0.00558116;0.00169593;0.001657822;0.001821823;0.001602429;0.001406073;0.001164155;0.001121805;4.44E-04;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;gas_subpeak_CC_CCS;0;0;0;0;0;0;9.53E-06;1.84E-05;5.71E-05;4.11E-04;5.83E-04;EJ;gas;w/ CCS;b natural gas;Central Northwest
CO2B;MN;gas_subpeak_steam/CT;4.79E-04;0.00197453;0.00432577;8.96E-04;7.44E-04;6.67E-04;2.81E-04;1.82E-04;6.77E-05;8.86E-06;1.58E-06;EJ;gas;no CCS;b natural gas;Central Northwest
CO2B;MN;hydro_base;0.0023259;0.0023696;0.0026054;0.0026776;0.0031266;0.0031218;0.0031184;0.0031189;0.0031119;0.0030858;0.0030892;EJ;hydro;no CCS;f hydro;Central Northwest
CO2B;MN;nuc_base_Gen II;0.0463248;0.0479054;0.0504422;0.0451377;0.0451372;0.0451368;0.0421876;0;0;0;0;EJ;nuclear;no CCS;e nuclear;Central Northwest
CO2B;MN;nuc_base_Gen III;0;0;0;0;0;0;0.00867707;0.02046195;0.0283237;0.04793896;0.06441096;EJ;nuclear;no CCS;e nuclear;Central Northwest
CO2B;MN;refined liquids_peak_steam/CT;0;0;7.16E-05;6.66E-05;3.85E-05;2.90E-05;9.91E-06;1.68E-05;9.74E-06;2.37E-06;6.08E-07;EJ;refined liquids;no CCS;refined liquids;Central Northwest
CO2B;MN;refined liquids_subpeak_steam/CT;0.00171992;0.003047247;7.16E-05;6.66E-05;4.39E-05;3.66E-05;1.05E-05;1.68E-05;9.96E-06;2.51E-06;6.34E-07;EJ;refined liquids;no CCS;refined liquids;Central Northwest
CO2B;MN;rooftop_pv;0;0;0;0;6.09E-05;1.72E-04;9.00E-04;0.00146385;0.00227226;0.00280513;0.00338249;EJ;rooftop_pv;no CCS;h solar;Central Northwest
CO2B;MN;wind_base;7.00E-07;0.00343163;0.0103803;0.021329;0.02671027;0.03548879;0.06483839;0.08985249;0.10555719;0.13260889;0.16257292;EJ;wind;no CCS;g wind;Central Northwest
CO2B;MN;wind_base_offshore;0;0;0;0;0;3.39E-04;0.003751482;0.007954382;0.011072352;0.020896212;0.02879937;EJ;wind;no CCS;g wind;Central Northwest
CO2B;MN;wind_base_storage;0;0;0;0;1.29E-04;3.17E-04;0.001232768;0.002365298;0.003095007;0.004928217;0.006276932;EJ;wind;no CCS;g wind;Central Northwest
CO2B;MN;wind_int;3.00E-07;0.00142991;0.00432514;0.00888714;0.00888714;0.00888714;0.00888714;0.00888714;0.00888714;0;0;EJ;wind;no CCS;g wind;Central Northwest
CO2B;MN;wind_subpeak;2.00E-07;8.58E-04;0.00259508;0.00533218;0.00533218;0.00533218;0.00533218;0.00533218;0.00533218;0;0;EJ;wind;no CCS;g wind;Central Northwest
CO2B;MO;PV_base_storage;0;0;0;0;1.43E-04;1.74E-04;2.93E-04;4.30E-04;5.81E-04;8.55E-04;0.001145732;EJ;solar;no CCS;h solar;Central Northeast
CO2B;MO;PV_int;0;0;0;0;0.0400845;0.04992045;0.08669405;0.13935165;0.19135655;0.27230125;0.34465275;EJ;solar;no CCS;h solar;Central Northeast
CO2B;MO;PV_peak;0;0;0;0;7.06E-04;9.58E-04;0.001478258;0.001754647;0.00230512;0.003167896;0.004157719;EJ;solar;no CCS;h solar;Central Northeast
CO2B;MO;PV_subpeak;0;0;0;7.76E-05;0.003973678;0.005513458;0.008728038;0.010631618;0.014336568;0.02228359;0.02944641;EJ;solar;no CCS;h solar;Central Northeast
CO2B;MO;biomass_base_IGCC;0;0;0;0;1.18E-04;1.25E-04;2.57E-04;2.33E-04;8.85E-05;4.26E-05;3.80E-05;EJ;biomass;no CCS;d biomass;Central Northeast
CO2B;MO;biomass_base_IGCC_CCS;0;0;0;0;0;0;1.54E-04;7.14E-04;0.001690686;0.003759571;0.008439881;EJ;biomass;w/ CCS;d biomass;Central Northeast
CO2B;MO;biomass_base_conv;0;0;8.00E-05;1.17E-04;2.63E-04;2.16E-04;4.91E-04;2.70E-04;8.19E-05;3.29E-05;2.71E-05;EJ;biomass;no CCS;d biomass;Central Northeast
CO2B;MO;biomass_base_conv_CCS;0;0;0;0;0;0;3.03E-04;0.001846547;0.00440622;0.008877651;0.019133851;EJ;biomass;w/ CCS;d biomass;Central Northeast
CO2B;MO;biomass_int_IGCC;0;0;0;0;5.56E-05;6.85E-05;1.06E-04;1.98E-04;2.02E-04;1.43E-04;1.67E-04;EJ;biomass;no CCS;d biomass;Central Northeast
CO2B;MO;biomass_int_IGCC_CCS;0;0;0;0;0;0;2.36E-05;1.34E-04;3.45E-04;0.001014557;0.002597196;EJ;biomass;w/ CCS;d biomass;Central Northeast
CO2B;MO;biomass_int_conv;0;0;8.00E-05;1.17E-04;2.24E-04;2.59E-04;3.64E-04;4.72E-04;2.78E-04;1.53E-04;1.57E-04;EJ;biomass;no CCS;d biomass;Central Northeast
CO2B;MO;biomass_int_conv_CCS;0;0;0;0;0;0;4.54E-05;2.76E-04;7.01E-04;0.001964963;0.004920073;EJ;biomass;w/ CCS;d biomass;Central Northeast
CO2B;MO;coal_base_IGCC_CCS;0;0;0;0;0;0;0.001775205;0.00360312;0.005342027;0.006841018;0.007573522;EJ;coal;w/ CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul;0.06641256;0.13131831;0.12162775;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 1966-1970;0;0;0;0.02858803;0.02853893;0.02840315;0.011531081;8.12E-04;5.05E-05;7.13E-07;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 1971-1975;0;0;0;0.02642712;0.02640958;0.02638039;0.010884327;8.20E-04;6.44E-05;1.47E-06;8.45E-08;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 1976-1980;0;0;0;0.02872474;0.02871252;0.02870422;0.011886613;9.10E-04;7.64E-05;2.21E-06;2.05E-07;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 1981-1985;0;0;0;0.011557821;0.011553435;0.011552027;0.004787283;3.68E-04;3.13E-05;9.62E-07;1.10E-07;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 2006-2010;0;0;0;0.006576182;0.006573817;0.006573469;0.00272499;2.10E-04;1.80E-05;5.67E-07;7.27E-08;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul 2011-2015;0;0;0;0.00289015;0.00288911;0.002888966;0.001197601;9.21E-05;7.90E-06;2.49E-07;3.20E-08;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul_CCS;0;0;0;0;0;0;0.001994313;0.003902487;0.005576756;0.006469922;0.006298465;EJ;coal;w/ CCS;c coal;Central Northeast
CO2B;MO;coal_base_conv pul_retire_2020;0.006025087;0.011913478;0.011034364;0.009504424;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_IGCC_CCS;0;0;0;0;0;0;4.46E-04;0.001701421;0.003358115;0.006516283;0.011283847;EJ;coal;w/ CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul;0.09554225;0.14262877;0.14415496;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 1966-1970;0;0;0;0.03386221;0.0338151;0.03365584;0.02723459;0.009863494;0.001268673;3.23E-05;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 1971-1975;0;0;0;0.03130267;0.0312921;0.03125905;0.02570705;0.009962269;0.001618242;6.67E-05;5.85E-06;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 1976-1980;0;0;0;0.03402419;0.03402074;0.03401263;0.02807429;0.011056885;0.001921817;1.00E-04;1.42E-05;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 1981-1985;0;0;0;0.013690083;0.013689412;0.013688403;0.011306819;0.004467806;7.88E-04;4.36E-05;7.59E-06;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 2006-2010;0;0;0;0.007789414;0.007789161;0.007789141;0.006436009;0.002546769;4.52E-04;2.57E-05;5.03E-06;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul 2011-2015;0;0;0;0.003423355;0.003423246;0.003423236;0.002828547;0.001119273;1.99E-04;1.13E-05;2.21E-06;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul_CCS;0;0;0;0;0;0;5.27E-04;0.001908709;0.003630124;0.006710334;0.011159635;EJ;coal;w/ CCS;c coal;Central Northeast
CO2B;MO;coal_int_conv pul_retire_2020;0.008667798;0.012939616;0.013078029;0.011257888;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_peak_conv pul;0.001292248;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_peak_conv pul_retire_2020;1.17E-04;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_subpeak_conv pul;0.007744846;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;coal_subpeak_conv pul_retire_2020;7.03E-04;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Central Northeast
CO2B;MO;gas_base_CC;1.67E-04;0.0020832;0.002759276;0.002797151;0.024242438;0.028649147;0.030349805;0.020675734;0.00912947;0.002049702;0.001247379;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;gas_base_CC_CCS;0;0;0;0;0;0;0.0049413;0.00990799;0.01569423;0.02463861;0.03561603;EJ;gas;w/ CCS;b natural gas;Central Northeast
CO2B;MO;gas_int_CC;8.77E-05;0.0010959;4.14E-04;0.008088846;0.04276872;0.050765407;0.059277511;0.072777776;0.075396677;0.04596517;0.02509467;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;gas_int_CC_CCS;0;0;0;0;0;0;0.00403415;0.01443939;0.02820427;0.05673293;0.10274337;EJ;gas;w/ CCS;b natural gas;Central Northeast
CO2B;MO;gas_peak_CC;6.55E-05;0.001054495;8.90E-04;6.70E-04;5.76E-04;5.26E-04;4.29E-04;3.43E-04;2.22E-04;6.09E-05;2.42E-05;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;gas_peak_CC_CCS;0;0;0;0;0;0;2.34E-07;4.82E-07;1.17E-06;2.64E-06;5.94E-06;EJ;gas;w/ CCS;b natural gas;Central Northeast
CO2B;MO;gas_peak_steam/CT;4.85E-05;3.71E-04;6.90E-04;3.54E-04;2.82E-04;2.45E-04;1.15E-04;7.58E-05;3.00E-05;6.79E-06;6.14E-06;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;gas_subpeak_CC;4.25E-04;0.006833492;0.007650946;0.004367512;0.004119064;0.003871675;0.003334918;0.002831599;0.002112417;8.54E-04;4.17E-04;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;gas_subpeak_CC_CCS;0;0;0;0;0;0;1.25E-05;2.70E-05;6.52E-05;1.74E-04;3.44E-04;EJ;gas;w/ CCS;b natural gas;Central Northeast
CO2B;MO;gas_subpeak_steam/CT;3.15E-04;0.0024036;0.00592996;0.00230835;0.002170163;0.001957666;0.001069189;7.74E-04;3.76E-04;1.35E-04;9.79E-05;EJ;gas;no CCS;b natural gas;Central Northeast
CO2B;MO;hydro_base;0.0074394;0.004258;0.0056234;0.0058205;0.0067966;0.0067862;0.0067788;0.0067798;0.0067646;0.0067078;0.0067153;EJ;hydro;no CCS;f hydro;Central Northeast
CO2B;MO;nuc_base_Gen II;0.0305212;0.0299725;0.0336683;0.0391445;0.0391442;0.0391441;0.0391444;0.0391444;0.0391444;0;0;EJ;nuclear;no CCS;e nuclear;Central Northeast
CO2B;MO;nuc_base_Gen III;0;0;0;0;0;0;0.00833142;0.01799401;0.02873009;0.04837888;0.07987477;EJ;nuclear;no CCS;e nuclear;Central Northeast
CO2B;MO;refined liquids_peak_steam/CT;0;0;2.86E-04;1.81E-04;1.08E-04;8.68E-05;4.22E-05;5.51E-05;3.10E-05;6.32E-06;1.57E-06;EJ;refined liquids;no CCS;refined liquids;Central Northeast
CO2B;MO;refined liquids_subpeak_steam/CT;4.38E-04;7.65E-04;2.86E-04;1.81E-04;1.28E-04;1.01E-04;5.05E-05;6.23E-05;3.62E-05;7.79E-06;1.94E-06;EJ;refined liquids;no CCS;refined liquids;Central Northeast
CO2B;MO;rooftop_pv;0;0;0;0;2.36E-04;6.21E-04;0.00266313;0.00427473;0.00646519;0.00833643;0.00881849;EJ;rooftop_pv;no CCS;h solar;Central Northeast
CO2B;MO;wind_base;0;0;0.00200978;0.00225996;0.03350406;0.04762196;0.09078296;0.12796156;0.16352106;0.2188253;0.2814466;EJ;wind;no CCS;g wind;Central Northeast
CO2B;MO;wind_base_storage;0;0;0;0;7.41E-04;0.001045303;0.002188523;0.003466693;0.004849283;0.007310373;0.010465197;EJ;wind;no CCS;g wind;Central Northeast
CO2B;MO;wind_int;0;0;8.37E-04;9.42E-04;9.42E-04;9.42E-04;9.42E-04;9.42E-04;9.42E-04;0;0;EJ;wind;no CCS;g wind;Central Northeast
CO2B;MO;wind_subpeak;0;0;5.02E-04;5.65E-04;5.65E-04;5.65E-04;5.65E-04;5.65E-04;5.65E-04;0;0;EJ;wind;no CCS;g wind;Central Northeast
CO2B;MS;PV_base_storage;0;0;0;0;2.75E-05;3.80E-05;8.17E-05;1.68E-04;2.54E-04;3.87E-04;5.35E-04;EJ;solar;no CCS;h solar;Southeast
CO2B;MS;PV_int;0;0;0;0;0.00479857;0.01006804;0.02466514;0.04158484;0.05831424;0.09055894;0.12086307;EJ;solar;no CCS;h solar;Southeast
CO2B;MS;PV_peak;0;0;0;0;3.71E-04;6.74E-04;0.001248228;0.001690605;0.002134154;0.002907071;0.003805322;EJ;solar;no CCS;h solar;Southeast
CO2B;MS;PV_subpeak;0;0;0;0;0.00200859;0.00391596;0.00755097;0.01048843;0.01351986;0.01995732;0.02647705;EJ;solar;no CCS;h solar;Southeast
CO2B;MS;biomass_base_IGCC;0;0;0;0;1.95E-05;2.93E-05;7.07E-05;1.09E-04;4.91E-05;2.04E-05;1.51E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;MS;biomass_base_IGCC_CCS;0;0;0;0;0;0;5.17E-05;3.72E-04;8.87E-04;0.001835402;0.003615623;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;MS;biomass_base_conv;0;0;2.10E-06;1.50E-05;3.83E-05;4.32E-05;1.15E-04;1.11E-04;3.91E-05;1.39E-05;9.48E-06;EJ;biomass;no CCS;d biomass;Southeast
CO2B;MS;biomass_base_conv_CCS;0;0;0;0;0;0;9.33E-05;9.07E-04;0.002151985;0.004036013;0.007628413;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;MS;biomass_int_IGCC;0;0;0;0;5.49E-06;1.17E-05;2.27E-05;4.54E-05;4.97E-05;5.64E-05;5.51E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;MS;biomass_int_IGCC_CCS;0;0;0;0;0;0;7.15E-06;3.56E-05;9.82E-05;3.66E-04;8.82E-04;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;MS;biomass_int_conv;0;0;2.10E-06;1.50E-05;2.05E-05;3.42E-05;5.91E-05;8.07E-05;5.67E-05;5.36E-05;4.58E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;MS;biomass_int_conv_CCS;0;0;0;0;0;0;1.27E-05;6.78E-05;1.85E-04;6.52E-04;0.001542031;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;MS;coal_base_IGCC_CCS;0;0;0;0;0;0;5.45E-04;0.001512734;0.002352844;0.002977045;0.00318269;EJ;coal;w/ CCS;c coal;Southeast
CO2B;MS;coal_base_conv pul;0.01338276;0.02844454;0.02522293;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;MS;coal_base_conv pul 1976-1980;0;0;0;0.003976532;0.003967283;0.003966886;0.001829067;1.46E-04;1.26E-05;4.20E-07;4.52E-08;EJ;coal;no CCS;c coal;Southeast
CO2B;MS;coal_base_conv pul 1981-1985;0;0;0;0.004358273;0.004348309;0.004348474;0.002006266;1.60E-04;1.40E-05;4.93E-07;6.27E-08;EJ;coal;no CCS;c coal;Southeast
CO2B;MS;coal_base_conv pul 2001-2005;0;0;0;0.010061666;0.010038951;0.010040284;0.004634302;3.71E-04;3.27E-05;1.19E-06;1.77E-07;EJ;coal;no CCS;c coal;Southeast
