scenario;region;sector;subsector;output;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin;region_id;subRegion;basin_name
CO2B;USA;Corn;CornC4_MexCstNW;Corn;CornC4_MexCstNW_IRR_lo;0.0083088;0.0125444;0.0134381;0.015315;0.0160072;0.0162026;0.016291;0.0186124;0.0197336;0.020717;0.0215487;Mt;MexCstNW;96;Mexico_Northwest_Coast;Mexico Northwest Coast
CO2B;USA;Corn;CornC4_MissouriR;Corn;CornC4_MissouriR_IRR_hi;11.8649;17.9134;19.1897;21.8699;23.7429;24.3443;24.9065;32.3279;36.7516;41.9071;45.3989;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;Corn;CornC4_MissouriR;Corn;CornC4_MissouriR_IRR_lo;7.90996;11.9423;12.7931;14.58;15.3038;15.5647;15.7394;17.4869;18.1125;18.0818;18.5576;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;Corn;CornC4_MissouriR;Corn;CornC4_MissouriR_RFD_hi;17.5043;26.4275;28.3104;32.2646;36.0213;37.9726;39.8156;52.4086;60.4898;70.3046;77.5417;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;Corn;CornC4_MissouriR;Corn;CornC4_MissouriR_RFD_lo;11.6695;17.6183;18.8736;21.5097;22.9408;23.691;24.2998;27.0642;28.1063;28.0511;28.7947;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;Corn;CornC4_MissppRN;Corn;CornC4_MissppRN_IRR_hi;1.31283;1.98208;2.1233;2.41987;2.58605;2.62816;2.65369;3.20193;3.49404;3.68781;3.91743;Mt;MissppRN;218;Upper_Mississippi;Upper Mississippi River
CO2B;USA;Corn;CornC4_MissppRN;Corn;CornC4_MissppRN_IRR_lo;0.875222;1.32139;1.41553;1.61324;1.66425;1.67413;1.67052;1.72424;1.70869;1.56783;1.56367;Mt;MissppRN;218;Upper_Mississippi;Upper Mississippi River
CO2B;USA;Corn;CornC4_MissppRN;Corn;CornC4_MissppRN_RFD_hi;47.6581;71.953;77.0794;87.8453;96.3355;100.377;103.861;127.039;140.266;149.909;160.796;Mt;MissppRN;218;Upper_Mississippi;Upper Mississippi River
CO2B;USA;Corn;CornC4_MissppRN;Corn;CornC4_MissppRN_RFD_lo;31.7721;47.9687;51.3863;58.5635;61.3537;62.6251;63.3807;65.6012;65.1746;59.816;59.7133;Mt;MissppRN;218;Upper_Mississippi;Upper Mississippi River
CO2B;USA;Corn;CornC4_MissppRS;Corn;CornC4_MissppRS_IRR_hi;0.990641;1.49565;1.60221;1.82599;1.95383;1.96088;1.92945;2.37585;2.6067;2.77421;2.96894;Mt;MissppRS;219;Lower_Mississippi_River;Lower Mississippi River
