scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;CO;wind;0;0.00280557;0.01249351;0.0272317;0.038269608;0.047616494;0.090643729;0.119631693;0.144602479;0.168392822;0.224622051;EJ
CO2B;CO;solar;0.000188103;0.000169099;0.000638381;0.002130948;0.012073043;0.023235334;0.061217417;0.097515671;0.135175055;0.199325047;0.250601492;EJ
CO2B;CT;nuclear;0.0754677;0.0580829;0.0626896;0.0652816;0.063792;0.061881914;0.062788109;0.064181309;0.061031611;0.062068528;0.063639094;EJ
CO2B;CT;hydro;0.0019109;0.0017565;0.001427;0.0011039;0.001289;0.001287;0.0012856;0.0012858;0.001283;0.0012722;0.0012736;EJ
CO2B;CT;wind;0;0;0;0;0.001780567;0.00492875;0.010352799;0.016085445;0.019880952;0.027751243;0.029211102;EJ
CO2B;CT;solar;0;0;0;8.25995E-05;0.001249222;0.004412794;0.013702734;0.021945655;0.03157499;0.047770219;0.060577917;EJ
CO2B;DC;nuclear;0;0;0;0;0;5.23393E-07;6.64427E-06;1.59306E-05;3.33404E-05;7.96748E-05;0.000153859;EJ
CO2B;DC;solar;0;0;0;0;3.11437E-05;9.27806E-05;0.000496437;0.000729317;0.00112846;0.00156954;0.00184651;EJ
CO2B;DE;nuclear;0;0;0;0;0;1.89412E-06;2.29219E-05;4.8431E-05;9.41498E-05;0.000217383;0.000468166;EJ
CO2B;DE;wind;0;0;9.29993E-06;0;5.05171E-05;0.000106897;0.000376346;0.000733634;0.0010699;0.001556032;0.002212709;EJ
CO2B;DE;solar;0;0;0;0.000224094;0.001410971;0.002409401;0.006086741;0.010144767;0.014303666;0.021440432;0.027774565;EJ
CO2B;FL;nuclear;0.0831123;0.107338;0.0895828;0.105443;0.105255;0.104170201;0.104097791;0.123550796;0.132943386;0.172194816;0.236382744;EJ
CO2B;FL;hydro;0.0005925;0.0009774;0.0006482;0.0008916;0.0010411;0.0010395;0.0010384;0.0010385;0.0010362;0.0010275;0.0010287;EJ
CO2B;FL;wind;0;0;0;0;0.005329398;0.009551191;0.017774036;0.070763108;0.117105534;0.157896222;0.19757449;EJ
CO2B;FL;solar;0;0;0.000735905;0.0010498;0.017967245;0.036184173;0.090264731;0.154722237;0.218024675;0.313579249;0.397134851;EJ
CO2B;GA;nuclear;0.094631;0.117696;0.125421;0.126874;0.125486;0.123230059;0.128129857;0.136254632;0.134273764;0.13922601;0.13817557;EJ
CO2B;GA;hydro;0.0154506;0.0147366;0.0120526;0.0108101;0.0126229;0.0126036;0.0125898;0.0125917;0.0125635;0.0124581;0.012472;EJ
CO2B;GA;wind;0;0;0;0;0.004333532;0.007671371;0.022333033;0.05423071;0.088182522;0.139154962;0.202898921;EJ
CO2B;GA;solar;0;0;0;0.000596583;0.010878725;0.02236947;0.058341853;0.094700641;0.132708885;0.200325974;0.264935185;EJ
