scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;SD;hydro;0.0133525;0.0112926;0.0191379;0.0177004;0.0206687;0.020637;0.0206145;0.0206175;0.0205714;0.0203988;0.0204215;EJ
CO2B;SD;wind;0;0.000571505;0.004965124;0.009106;0.009365674;0.009771013;0.011671371;0.013457515;0.014673908;0.009439811;0.012425872;EJ
CO2B;SD;solar;3.35004E-05;3.01004E-05;4.43996E-05;0.000178993;0.00098476;0.001910457;0.004201627;0.006107337;0.00853522;0.016249991;0.020129927;EJ
CO2B;TN;nuclear;0.0534371;0.10377;0.103815;0.0935869;0.0934082;0.093076483;0.100730603;0.114993444;0.124510181;0.136076726;0.150037741;EJ
CO2B;TN;hydro;0.0339897;0.0313588;0.0297279;0.0349637;0.0408271;0.0407644;0.04072;0.040726;0.0406347;0.0402939;0.0403388;EJ
CO2B;TN;wind;0;1.19001E-05;0.000146899;0.000167094;0.007092018;0.012678;0.037804105;0.081710468;0.119522249;0.166730514;0.215434784;EJ
CO2B;TN;solar;0;0;0;0.00034669;0.00496654;0.010200789;0.026473314;0.041623198;0.058260883;0.087931875;0.115382676;EJ
CO2B;TX;nuclear;0.0605242;0.142692;0.154693;0.147552;0.147547;0.147628611;0.196754647;0.252221636;0.308566235;0.426893113;0.520565558;EJ
CO2B;TX;hydro;0.006087;0.0048942;0.0046094;0.0034902;0.0040755;0.0040692;0.0040648;0.0040654;0.0040563;0.0040223;0.0040268;EJ
CO2B;TX;wind;0;0.015314;0.0950115;0.1633492;0.211667557;0.271550612;0.520277319;0.720058231;0.893048342;1.112630691;1.655269769;EJ
CO2B;TX;solar;0.000468338;0.000420892;0.000695766;0.00438653;0.041991399;0.096745266;0.28170809;0.456185631;0.642458276;1.032932562;1.46795692;EJ
CO2B;UT;nuclear;0;0;0;0;0;8.7427E-06;8.51509E-05;0.000213834;0.000435055;0.001096519;0.00209301;EJ
CO2B;UT;hydro;0.001725598;0.0028813;0.0025406;0.0028053;0.0032757;0.0032707;0.0032672;0.0032676;0.0032603;0.003233;0.0032366;EJ
CO2B;UT;wind;0;0;0.0016205;0.00228211;0.006288791;0.014865811;0.036500637;0.056287596;0.074447148;0.110042991;0.141400201;EJ
CO2B;UT;solar;0.000104101;0.000093601;0.000138099;0.00070729;0.053977815;0.085969204;0.169506357;0.259251409;0.343889525;0.481533923;0.586188529;EJ
CO2B;VA;nuclear;0.0909035;0.104201;0.0994466;0.105209;0.105208;0.105206314;0.112520117;0.082557325;0.04427105;0.073600707;0.113020688;EJ
CO2B;VA;hydro;0.004444;0.0054033;0.0054366;0.0041821;0.0048834;0.0048759;0.0048706;0.0048713;0.0048604;0.0048197;0.004825;EJ
CO2B;VA;wind;0;0;0;0;0.004601363;0.007953486;0.021732813;0.049869244;0.07914907;0.122702955;0.176567085;EJ
CO2B;VA;solar;0;0;0;0;0.007730084;0.01616208;0.039867869;0.063386608;0.088053544;0.133695571;0.175840742;EJ
CO2B;VT;nuclear;0.0137998;0.0151965;0.0178987;0;0;1.7444E-06;2.24245E-05;5.30112E-05;0.000111663;0.000270921;0.000544323;EJ
CO2B;VT;hydro;0.0045748;0.0043693;0.0048277;0.0041582;0.0048555;0.0048481;0.0048428;0.0048435;0.0048327;0.0047921;0.0047975;EJ
CO2B;VT;wind;0;4.16003E-05;5.05001E-05;0.00118628;0.001220685;0.001312311;0.001727134;0.00237981;0.003019928;0.003063624;0.004833179;EJ
CO2B;VT;solar;0;0;0;0.000227099;0.000606266;0.001331603;0.002948284;0.004420284;0.006258221;0.009102142;0.011392553;EJ
CO2B;WA;nuclear;0.0219129;0.0307632;0.0345857;0.0305984;0.0305981;0.030629255;0.040326758;0.050963949;0.062715778;0.066375419;0.110399485;EJ
CO2B;WA;hydro;0.2959092;0.264531;0.249261;0.267867;0.312787;0.312307;0.311967;0.312013;0.311314;0.308703;0.309047;EJ
CO2B;WA;wind;0;0.00180153;0.0171732;0.0257974;0.037786369;0.057857895;0.090362895;0.121444959;0.151579257;0.19602958;0.256224931;EJ
CO2B;WA;solar;3.30004E-06;3.00004E-06;4.39998E-06;2.12997E-05;0.003419748;0.006261002;0.011708801;0.017867944;0.024562789;0.037598477;0.050313691;EJ
CO2B;WI;nuclear;0.0428394;0.037028;0.0497046;0.0375254;0.0375251;0.037534793;0.023272761;0.012772486;0.020638968;0.035540035;0.05956236;EJ
CO2B;WI;hydro;0.0061141;0.0056204;0.0072193;0.0079468;0.0092795;0.0092652;0.0092551;0.0092565;0.0092358;0.0091583;0.0091685;EJ
CO2B;WI;wind;0;0.0003344;0.003939567;0.005767893;0.024333927;0.032013657;0.051628351;0.069076707;0.086733672;0.111410504;0.143295737;EJ
CO2B;WI;solar;0;0;0;6.59987E-06;0.029276315;0.038084122;0.062903575;0.091608819;0.125548811;0.183453183;0.23371421;EJ
CO2B;WV;nuclear;0;0;0;0;0;4.44399E-06;4.59904E-05;0.000109213;0.000225408;0.000586661;0.001153699;EJ
CO2B;WV;hydro;0.0023262;0.0032758;0.0031742;0.0030375;0.0035469;0.0035414;0.0035376;0.0035381;0.0035302;0.0035006;0.0035045;EJ
CO2B;WV;wind;0;0.000556299;0.003399451;0.005017833;0.011602234;0.01626367;0.040014585;0.059315187;0.073908096;0.091516277;0.111099842;EJ
CO2B;WV;solar;0;0;0;0;0.011397691;0.017982767;0.038195618;0.063556128;0.087836723;0.130435121;0.165848413;EJ
CO2B;WY;nuclear;0;0;0;0;0;2.93014E-06;2.60676E-05;7.07026E-05;0.000151857;0.000409103;0.000753259;EJ
CO2B;WY;hydro;0.0021876;0.0029691;0.0037403;0.0031683;0.0036996;0.0036939;0.0036899;0.0036905;0.0036822;0.0036513;0.0036554;EJ
CO2B;WY;wind;0;0.00259237;0.01175163;0.0136975;0.028168872;0.041085031;0.104242015;0.147477285;0.184607448;0.246335905;0.330498047;EJ
CO2B;WY;solar;0.000111102;9.98994E-05;0.000147296;0.000593886;0.0123768;0.020362167;0.036990529;0.054446237;0.074764008;0.11087249;0.134212091;EJ
CO2B_W;AK;nuclear;0;0;0;0;0;2.56209E-06;3.49245E-05;0.000102456;0.000288177;0.001075723;0.006052762;EJ
CO2B_W;AK;hydro;0.0033073;0.0053769;0.0052355;0.0057253;0.00572139;0.0049522;0.0066679;0.0066689;0.0066539;0.0065981;0.0066055;EJ
CO2B_W;AK;wind;0;2.19856E-06;4.55722E-05;0.000581723;0.00049784;0.000432801;0.003204338;0.006119983;0.009586696;0.017067308;0.031919673;EJ
CO2B_W;AK;solar;0;0;0;0;3.25406E-07;2.34152E-06;0.000238953;0.001752159;0.003259411;0.006404613;0.012024973;EJ
CO2B_W;AL;nuclear;0.045993;0.1182933;0.1419954;0.157293;0.1570381;0.155424427;0.15653526;0.131304035;0.089276776;0.100323124;0.151741226;EJ
CO2B_W;AL;hydro;0.0351811;0.0372598;0.0317975;0.0359873;0.0420223;0.0419578;0.0419121;0.0419182;0.0418244;0.0414736;0.0415197;EJ
CO2B_W;AL;wind;0;0;0;0;0.006363215;0.010986349;0.029110189;0.066390845;0.102413855;0.138229972;0.174219427;EJ
CO2B_W;AL;solar;0;0;0;0;0.01496947;0.031069658;0.081131297;0.14077162;0.19626013;0.288967833;0.387078114;EJ
CO2B_W;AR;nuclear;0.0430551;0.0510939;0.0562232;0.0518835;0.0518821;0.05185556;0.056386538;0.044122259;0.028669874;0.04412958;0.063694186;EJ
CO2B_W;AR;hydro;0.0124031;0.0113216;0.0133666;0.0130245;0.0152087;0.0151853;0.0151688;0.015171;0.015137;0.0150101;0.0150268;EJ
CO2B_W;AR;wind;0;0;0;0;0.007492101;0.013897495;0.047767893;0.110121666;0.163294628;0.225565061;0.294619136;EJ
CO2B_W;AR;solar;0;0;0;4.59987E-06;0.003756861;0.007913983;0.01960513;0.031499624;0.044161377;0.066550563;0.089304825;EJ
CO2B_W;AZ;nuclear;0.0786024;0.0963203;0.116766;0.121953;0.121951;0.12197069;0.14178715;0.160381133;0.178310605;0.215831638;0.155202036;EJ
CO2B_W;AZ;hydro;0.0251735;0.0235432;0.0241914;0.0238498;0.0278494;0.0278066;0.0277763;0.0277804;0.0277182;0.0274857;0.0275163;EJ
CO2B_W;AZ;wind;0;0;0.000488088;0.00164836;0.021866781;0.038822064;0.086120618;0.118448888;0.145897439;0.195660508;0.248593936;EJ
CO2B_W;AZ;solar;0.000257804;0.000278298;0.000486186;0.01760397;0.037592799;0.055325437;0.098641975;0.146626286;0.197988501;0.267488372;0.338083418;EJ
CO2B_W;CA;nuclear;0.124765;0.134934;0.120505;0.0693808;0.0693806;9.34162E-05;0.019556989;0.055139937;0.094518491;0.180450456;0.303040103;EJ
CO2B_W;CA;hydro;0.0807207;0.145543;0.122102;0.0503768;0.0588249;0.0587346;0.0586706;0.0586792;0.0585478;0.0580568;0.0581214;EJ
CO2B_W;CA;wind;0.0109208;0.0154038;0.0219996;0.0445538;0.048743969;0.094634822;0.150743696;0.234019054;0.313357656;0.427235919;0.602473995;EJ
CO2B_W;CA;solar;0.000185308;0.001996635;0.007230648;0.070423445;0.078491513;0.098805938;0.173348173;0.279365737;0.396663283;0.560599594;0.775209057;EJ
CO2B_W;CO;nuclear;0;0;0;0;0;1.26523E-05;0.000123833;0.000279803;0.000569169;0.001391594;0.002881874;EJ
CO2B_W;CO;hydro;0.0048185;0.0051984;0.0057657;0.0058886;0.0068761;0.0068656;0.0068581;0.0068591;0.0068437;0.0067863;0.0067939;EJ
CO2B_W;CO;wind;0;0.00280557;0.01249351;0.0272317;0.038269458;0.047713087;0.090250359;0.119354459;0.144047159;0.16630809;0.22421602;EJ
CO2B_W;CO;solar;0.000188103;0.000169099;0.000638381;0.002130948;0.011994317;0.023104567;0.060882476;0.096866133;0.134296669;0.196747956;0.248734273;EJ
CO2B_W;CT;nuclear;0.0754677;0.0580829;0.0626896;0.0652816;0.063792;0.061881917;0.062729627;0.064087273;0.060956526;0.061681529;0.064376422;EJ
CO2B_W;CT;hydro;0.0019109;0.0017565;0.001427;0.0011039;0.001289;0.001287;0.0012856;0.0012858;0.001283;0.0012722;0.0012736;EJ
CO2B_W;CT;wind;0;0;0;0;0.001787748;0.004945536;0.010325026;0.016070534;0.019886271;0.027663704;0.029216286;EJ
CO2B_W;CT;solar;0;0;0;8.25995E-05;0.001253681;0.004428383;0.013657455;0.02188855;0.031486843;0.04738195;0.061216631;EJ
CO2B_W;DC;nuclear;0;0;0;0;0;5.25113E-07;6.6413E-06;1.5785E-05;3.32349E-05;7.76647E-05;0.000155052;EJ
CO2B_W;DC;solar;0;0;0;0;3.11439E-05;9.29468E-05;0.000492541;0.000732209;0.00114774;0.00162024;0.00202872;EJ
CO2B_W;DE;nuclear;0;0;0;0;0;1.88765E-06;2.28488E-05;4.769E-05;9.27194E-05;0.000206529;0.000456409;EJ
CO2B_W;DE;wind;0;0;9.29993E-06;0;5.05337E-05;0.000107437;0.000383935;0.000732031;0.001067426;0.001536858;0.002192127;EJ
CO2B_W;DE;solar;0;0;0;0.000224094;0.001411372;0.002466261;0.006185559;0.010151325;0.014223136;0.021059904;0.027362456;EJ
CO2B_W;FL;nuclear;0.0831123;0.107338;0.0895828;0.105443;0.105255;0.104170218;0.103571464;0.122680439;0.132134032;0.170123742;0.236919534;EJ
CO2B_W;FL;hydro;0.0005925;0.0009774;0.0006482;0.0008916;0.0010411;0.0010395;0.0010384;0.0010385;0.0010362;0.0010275;0.0010287;EJ
CO2B_W;FL;wind;0;0;0;0;0.005335025;0.009547755;0.017196979;0.070137265;0.116797949;0.156793127;0.198292558;EJ
CO2B_W;FL;solar;0;0;0.000735905;0.0010498;0.017982871;0.036172499;0.089881728;0.154193357;0.217544395;0.312813294;0.400797334;EJ
CO2B_W;GA;nuclear;0.094631;0.117696;0.125421;0.126874;0.125486;0.123230069;0.127995262;0.136475128;0.134721111;0.136774339;0.13414799;EJ
CO2B_W;GA;hydro;0.0154506;0.0147366;0.0120526;0.0108101;0.0126229;0.0126036;0.0125898;0.0125917;0.0125635;0.0124581;0.012472;EJ
CO2B_W;GA;wind;0;0;0;0;0.00434233;0.007704381;0.022215137;0.054673003;0.088893685;0.137839726;0.203111692;EJ
CO2B_W;GA;solar;0;0;0;0.000596583;0.010906622;0.022507113;0.058170593;0.094169719;0.131868082;0.195531229;0.261653476;EJ
CO2B_W;HI;nuclear;0;0;0;0;0;7.5174E-06;0.000130466;0.000247861;0.000608749;0.001801811;0.00420274;EJ
CO2B_W;HI;hydro;0.0000773;0.0002288;0.0001045;0.0002287;0.0002671;0.0002666;0.0002664;0.0002664;0.0002658;0.0002636;0.0002639;EJ
CO2B_W;HI;wind;0.000114203;2.39006E-05;0.000944911;0.00223408;0.006192951;0.006684489;0.007582489;0.009491724;0.012599073;0.015880605;0.020173899;EJ
CO2B_W;HI;solar;3.00006E-07;3.00012E-07;1.63005E-05;0.000258703;0.005616169;0.007432151;0.012953385;0.018339376;0.024683738;0.031600566;0.03871524;EJ
CO2B_W;IA;nuclear;0.0114923;0.0169386;0.0166566;0.0196598;0.0196596;0.01967121;0.026139462;0.015539851;0.021586979;0.036769565;0.049116915;EJ
CO2B_W;IA;hydro;0.0029699;0.0035241;0.0034636;0.0035039;0.0040915;0.0040852;0.0040808;0.0040814;0.0040722;0.0040381;0.0040426;EJ
CO2B_W;IA;wind;0;0.005953253;0.03319144;0.0651556;0.069574633;0.077040074;0.106495164;0.13373793;0.151649185;0.141068635;0.181360779;EJ
CO2B_W;IA;solar;0;0;0;0;0.003024919;0.006813038;0.020391718;0.033039452;0.044385257;0.072687946;0.091506642;EJ
CO2B_W;ID;nuclear;0;0;0;0;0;9.72207E-06;7.52009E-05;0.000172602;0.000361704;0.000976818;0.001891846;EJ
CO2B_W;ID;hydro;0.03093388;0.0313742;0.0334413;0.0319544;0.0373131;0.0372558;0.0372152;0.0372207;0.0371373;0.0368259;0.0368669;EJ
CO2B_W;ID;wind;0;0;0.0015953;0.00827727;0.009456965;0.011815433;0.017594391;0.022788945;0.027853482;0.031209545;0.042194513;EJ
CO2B_W;ID;solar;0.000072001;6.47008E-05;9.53994E-05;0.000384794;0.001386835;0.002146797;0.003662329;0.005203589;0.006900982;0.00941875;0.011660904;EJ
CO2B_W;IL;nuclear;0.2743289;0.3480864;0.3599954;0.3647552;0.3162069;0.286961818;0.284494471;0.279250763;0.279423643;0.325911552;0.289936946;EJ
CO2B_W;IL;hydro;0.0004884;0.0004738;0.0004332;0.0004488;0.0005241;0.0005233;0.0005227;0.0005228;0.0005216;0.0005172;0.0005178;EJ
CO2B_W;IL;wind;0;0.00051;0.01611975;0.0391672;0.18501175;0.239485314;0.365368705;0.471964144;0.579891644;0.711397248;0.84987989;EJ
CO2B_W;IL;solar;0;0;0.000129399;0.000233195;0.044956663;0.05717393;0.095513266;0.146069555;0.199319882;0.284630328;0.34744355;EJ
CO2B_W;IN;nuclear;0;0;0;0;0;0.000019595;0.00019123;0.000523818;0.000986907;0.002452188;0.00494639;EJ
CO2B_W;IN;hydro;0.0014969;0.0016096;0.0016573;0.0013913;0.0016246;0.0016221;0.0016204;0.0016206;0.001617;0.0016034;0.0016052;EJ
CO2B_W;IN;wind;0;0;0.01061184;0.01645913;0.037671299;0.05254178;0.138310703;0.205786381;0.262419534;0.342999456;0.434707153;EJ
CO2B_W;IN;solar;0;0;0;0.000737573;0.016194911;0.025748383;0.05333568;0.084622194;0.117268574;0.173050843;0.220571239;EJ
CO2B_W;KS;nuclear;0.0299991;0.0325891;0.0357618;0.0323574;0.0323566;0.032363041;0.040627343;0.047719434;0.051043822;0.023896455;0.018912628;EJ
CO2B_W;KS;hydro;0.000045;0.0000415;0.0000483;0.0000693;0.0000809;0.0000808;0.0000807;0.0000807;0.0000805;0.0000799;0.00008;EJ
CO2B_W;KS;wind;0;0.001523835;0.0123242;0.04010098;0.043833093;0.049680948;0.086256881;0.116845594;0.138245507;0.177114907;0.247385734;EJ
CO2B_W;KS;solar;0.00016364;0.000145861;0.000217292;0.000884568;0.001268699;0.002557063;0.009153283;0.014239672;0.019678574;0.033957538;0.045062471;EJ
CO2B_W;KY;nuclear;0;0;0;0;0;1.85706E-05;0.00017594;0.000458855;0.000963603;0.002992917;0.006730495;EJ
CO2B_W;KY;hydro;0.0107254;0.0108761;0.0094259;0.0124199;0.0145027;0.0144804;0.0144647;0.0144668;0.0144344;0.0143133;0.0143293;EJ
CO2B_W;KY;wind;0;0;0;0;0.007562696;0.013282024;0.039079796;0.057784716;0.071873132;0.09385618;0.113343988;EJ
CO2B_W;KY;solar;0;0;0;0;0.017724904;0.028367534;0.062558819;0.103111044;0.142813649;0.209998307;0.267946078;EJ
CO2B_W;LA;nuclear;0.0541782;0.0585091;0.0697587;0.0573685;0.0573654;0.057369808;0.064796262;0.058347014;0.068340627;0.075467983;0.095911519;EJ
CO2B_W;LA;hydro;0.002228;0.0029786;0.0040504;0.0036456;0.004257;0.0042504;0.0042458;0.0042464;0.0042369;0.0042014;0.004206;EJ
CO2B_W;LA;wind;0;0;0;0;0.005673596;0.00989923;0.026517955;0.055695258;0.078598953;0.104699443;0.135641504;EJ
CO2B_W;LA;solar;0;0;0;0;0.009817697;0.020401291;0.052955772;0.091108005;0.127725725;0.1896484;0.257078133;EJ
CO2B_W;MA;nuclear;0.0193462;0.0204348;0.022148;0.018728;0.018728;0.01874107;0.02117372;0.008535468;0.013952949;0.023068379;0.038861502;EJ
CO2B_W;MA;hydro;0.0042016;0.0038253;0.0036037;0.0029811;0.003481;0.0034757;0.0034719;0.0034724;0.0034646;0.0034356;0.0034394;EJ
CO2B_W;MA;wind;0;0;7.20001E-05;0.000678791;0.001835589;0.004860214;0.012592047;0.023892374;0.03349362;0.046428616;0.064770754;EJ
CO2B_W;MA;solar;0;0;5.59998E-06;0.00211839;0.003878964;0.008596774;0.022578282;0.035049372;0.049650456;0.071587909;0.092455585;EJ
CO2B_W;MD;nuclear;0.00477532;0.0548772;0.0523733;0.0549041;0.0549039;0.054917666;0.059698782;0.041602419;0.025187948;0.044193845;0.06906933;EJ
CO2B_W;MD;hydro;0.0078018;0.0062574;0.0060911;0.0059235;0.0069169;0.0069062;0.0068987;0.0068997;0.0068843;0.0068265;0.0068341;EJ
CO2B_W;MD;wind;0;0;5.59996E-06;0.00158456;0.005747586;0.008519233;0.017428358;0.03238103;0.050085323;0.073259964;0.100007435;EJ
CO2B_W;MD;solar;0;0;8.99995E-07;0.000529186;0.009281973;0.014443876;0.033613274;0.055413005;0.077180274;0.113205273;0.142424709;EJ
CO2B_W;ME;nuclear;0.0185489;0;0;0;0;4.18056E-06;5.32518E-05;0.000116482;0.00023989;0.000565829;0.001315117;EJ
CO2B_W;ME;hydro;0.0093206;0.0127296;0.0113423;0.0108406;0.0126586;0.0126391;0.0126254;0.0126272;0.0125989;0.0124933;0.0125072;EJ
CO2B_W;ME;wind;0;0;0.0018068;0.00472443;0.004982113;0.005529979;0.007600825;0.011089677;0.01457015;0.016162333;0.026500189;EJ
CO2B_W;ME;solar;0;0;0;0;0.000211553;0.000888322;0.00318606;0.005257141;0.007805762;0.011994344;0.015918387;EJ
CO2B_W;MI;nuclear;0.0824681;0.1226866;0.1108709;0.109984;0.1083957;0.105248019;0.123383321;0.135404006;0.133706866;0.157346701;0.199638928;EJ
CO2B_W;MI;hydro;0.0054462;0.0052623;0.0044656;0.0053612;0.0062603;0.0062507;0.0062438;0.0062448;0.0062308;0.0061785;0.0061854;EJ
CO2B_W;MI;wind;0;6.49999E-06;0.00130408;0.01748965;0.04656849;0.06693547;0.156694599;0.234406341;0.293599223;0.370964995;0.458173798;EJ
CO2B_W;MI;solar;0;0;0;5.5998E-06;0.012963989;0.021494429;0.047827784;0.077685456;0.108527689;0.162052181;0.208667899;EJ
CO2B_W;MN;nuclear;0.0463248;0.0479054;0.0504422;0.0451377;0.0451371;0.045149594;0.050957746;0.02068551;0.028931563;0.049229529;0.065346712;EJ
CO2B_W;MN;hydro;0.0023259;0.0023696;0.0026054;0.0026776;0.0031266;0.0031218;0.0031184;0.0031189;0.0031119;0.0030858;0.0030892;EJ
CO2B_W;MN;wind;1.20003E-06;0.005719452;0.01730052;0.03554832;0.041002395;0.050370883;0.084116104;0.114370505;0.134482607;0.158837831;0.202123612;EJ
CO2B_W;MN;solar;0;0;0;1.31995E-05;0.002839426;0.006407073;0.020370388;0.033058764;0.045771057;0.082104444;0.104786952;EJ
CO2B_W;MO;nuclear;0.0305212;0.0299725;0.0336683;0.0391445;0.0391442;0.039165452;0.04753903;0.05714705;0.067981309;0.047604552;0.074993268;EJ
CO2B_W;MO;hydro;0.0074394;0.004258;0.0056234;0.0058205;0.0067966;0.0067862;0.0067788;0.0067798;0.0067646;0.0067078;0.0067153;EJ
CO2B_W;MO;wind;0;0;0.003349668;0.003766632;0.03584952;0.050356407;0.094401863;0.132741938;0.171608701;0.230476133;0.296947533;EJ
CO2B_W;MO;solar;0;0;0;7.75984E-05;0.04523225;0.057331735;0.100181595;0.157945218;0.215366208;0.305320658;0.3731163;EJ
CO2B_W;MS;nuclear;0.0283246;0.0376137;0.0360904;0.0439226;0.0439223;0.043931152;0.046998464;0.053149628;0.059348785;0.024759924;0.038386235;EJ
CO2B_W;MS;wind;0;0;0;0;0.001570903;0.00277054;0.007246007;0.014213941;0.018941119;0.024321818;0.029917455;EJ
CO2B_W;MS;solar;0;0;0;0;0.007386303;0.015272306;0.035760134;0.056510559;0.077840788;0.116134919;0.155503713;EJ
CO2B_W;MT;nuclear;0;0;0;0;0;4.01288E-06;3.79437E-05;9.43851E-05;0.000200622;0.000519854;0.000986421;EJ
CO2B_W;MT;hydro;0.03637003;0.0352131;0.0343924;0.0360821;0.042133;0.0420683;0.0420225;0.0420287;0.0419345;0.0415828;0.0416291;EJ
CO2B_W;MT;wind;0;0;0.0033668;0.00716342;0.016054458;0.034556601;0.090421249;0.147000202;0.201082754;0.309915392;0.416868338;EJ
CO2B_W;MT;solar;3.17004E-05;2.85004E-05;4.19998E-05;0.000169197;0.01252229;0.019091453;0.029584723;0.042296111;0.055531486;0.07748337;0.090378758;EJ
CO2B_W;NC;nuclear;0.0988609;0.1492248;0.15247;0.1578374;0.1578238;0.157759982;0.169529344;0.18827382;0.172287134;0.129089913;0.161752891;EJ
CO2B_W;NC;hydro;0.0230515;0.0171026;0.0173282;0.0172645;0.0201597;0.0201288;0.0201069;0.0201098;0.0200648;0.0198965;0.0199186;EJ
CO2B_W;NC;wind;0;0;0;0;0.005898593;0.010239179;0.028122842;0.067114557;0.108234725;0.167490789;0.246959886;EJ
CO2B_W;NC;solar;0;0;0.000104099;0.00612133;0.015211768;0.02514466;0.05361825;0.080484947;0.109584605;0.154082474;0.204634936;EJ
CO2B_W;ND;nuclear;0;0;0;0;0;3.65435E-06;3.32746E-05;0.00011629;0.000196032;0.000476851;0.000917111;EJ
CO2B_W;ND;hydro;0.0058071;0.0049284;0.0074601;0.0076421;0.0089237;0.00891;0.0089003;0.0089016;0.0088816;0.0088071;0.0088169;EJ
CO2B_W;ND;wind;0;0.000796309;0.0148238;0.02372049;0.025849935;0.029821851;0.051214787;0.070937341;0.083949239;0.099819959;0.128079054;EJ
CO2B_W;ND;solar;7.00008E-07;7.0001E-07;9.99992E-07;3.99984E-06;0.002977583;0.006560204;0.021413159;0.038736631;0.053072691;0.086385329;0.110629363;EJ
CO2B_W;NE;nuclear;0.0286641;0.0328515;0.0413713;0.0387116;0.0387102;0.038633757;0.03458601;0.016248229;0.021369992;0.030419809;0.033826564;EJ
CO2B_W;NE;hydro;0.0038691;0.0032009;0.0047996;0.0061486;0.0071797;0.0071687;0.0071609;0.0071619;0.0071459;0.007086;0.0070938;EJ
CO2B_W;NE;wind;0;0.000349204;0.001526278;0.01159634;0.015607245;0.023190994;0.053573582;0.081865568;0.100802381;0.146105851;0.186886295;EJ
CO2B_W;NE;solar;9.96012E-05;8.95014E-05;0.000132099;0.000532378;0.005316311;0.011003195;0.034983912;0.06304166;0.085390927;0.133405801;0.166214778;EJ
CO2B_W;NH;nuclear;0.0155723;0.0352926;0.0408319;0.0355608;0.0355607;0.035564537;0.039083505;0.045316743;0.051080371;0.060145138;0.039604701;EJ
CO2B_W;NH;hydro;0.0057891;0.0065769;0.0053789;0.0046352;0.0054125;0.0054042;0.0053983;0.0053991;0.005387;0.0053418;0.0053478;EJ
CO2B_W;NH;wind;0;0;0.0002738;0.00154428;0.004312774;0.010210162;0.023687997;0.040759218;0.052898304;0.065118816;0.076814946;EJ
CO2B_W;NH;solar;0;0;0;0;0.000479602;0.001891148;0.006230801;0.010086619;0.014627271;0.022072515;0.028680035;EJ
CO2B_W;NJ;nuclear;0.0907099;0.117164;0.1226482;0.1247121;0.1236052;0.121269758;0.122540813;0.119353848;0.106610323;0.103948315;0.114509304;EJ
CO2B_W;NJ;hydro;0.0001064;0.000108;0.0000663;0.0000349;0.0000408;0.0000407;0.0000406;0.0000407;0.0000406;0.0000402;0.0000403;EJ
CO2B_W;NJ;wind;0;0;4.55996E-05;0.000078598;0.003766956;0.005933;0.009583482;0.019701351;0.034203669;0.055809851;0.072443481;EJ
CO2B_W;NJ;solar;0;0;0.000191199;0.00233324;0.009340106;0.015528715;0.035777012;0.055918719;0.077881783;0.11477182;0.150692511;EJ
CO2B_W;NM;nuclear;0;0;0;0;0;6.29515E-06;5.97382E-05;0.000147026;0.000305059;0.00075289;0.001468297;EJ
CO2B_W;NM;hydro;0.0006972;0.0006061;0.0007927;0.000363;0.0004239;0.0004232;0.0004228;0.0004228;0.0004219;0.0004183;0.0004188;EJ
CO2B_W;NM;wind;0;0.00287207;0.006631442;0.00760992;0.015099439;0.021951375;0.053911707;0.075495648;0.093613338;0.121788485;0.163446172;EJ
CO2B_W;NM;solar;0.000345506;0.000310598;0.000539686;0.004751298;0.011404764;0.01823515;0.037825292;0.057809904;0.07969399;0.114876111;0.146631464;EJ
CO2B_W;NV;nuclear;0;0;0;0;0;1.09779E-05;9.09327E-05;0.000214647;0.000445176;0.001063558;0.002067321;EJ
CO2B_W;NV;hydro;0.0058883;0.0062526;0.0078809;0.008262;0.0096475;0.0096327;0.0096222;0.0096236;0.0096021;0.0095215;0.0095321;EJ
CO2B_W;NV;wind;0;0;0;0.00112916;0.002226168;0.005493585;0.015181453;0.024067924;0.032215616;0.047701339;0.063257313;EJ
CO2B_W;NV;solar;0.000170502;0.000153202;0.002194588;0.008516966;0.023893451;0.035921938;0.069380783;0.104810254;0.139502538;0.188269693;0.243232696;EJ
CO2B_W;NY;nuclear;0.0901483;0.1584108;0.1566996;0.1672374;0.1639168;0.151076191;0.12501394;0.085008694;0.064236401;0.096740549;0.143085378;EJ
CO2B_W;NY;hydro;0.0952017;0.0944657;0.092829;0.0946892;0.110568;0.110399;0.110278;0.110295;0.110048;0.109125;0.109246;EJ
CO2B_W;NY;wind;0;0.0003723;0.00939665;0.0144915;0.026803452;0.052989345;0.124275082;0.206392416;0.269114111;0.338775873;0.430712837;EJ
CO2B_W;NY;solar;0;0;0;0.000462794;0.01522975;0.032125981;0.08278409;0.127274746;0.175262319;0.262640694;0.340807827;EJ
CO2B_W;OH;nuclear;0.0406946;0.0552481;0.0591501;0.0651523;0.0650273;0.064680908;0.085928311;0.107518681;0.116811566;0.137143601;0.16268665;EJ
CO2B_W;OH;hydro;0.0006157;0.0018943;0.0015674;0.0016666;0.0019461;0.0019431;0.001941;0.0019413;0.0019369;0.0019207;0.0019228;EJ
CO2B_W;OH;wind;0;4.80999E-05;4.55993E-05;0.004262647;0.028734378;0.045537864;0.114099545;0.170780289;0.213841439;0.278461185;0.340077918;EJ
