scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AK;resid cooking;gas;1.92E-04;3.61E-04;2.45E-04;1.97E-04;1.84E-04;1.76E-04;1.65E-04;1.53E-04;1.39E-04;1.31E-04;1.15E-04;EJ;buildings
CO2B;AK;resid cooking;refined liquids;1.78E-05;4.59E-05;2.22E-04;1.37E-04;1.27E-04;1.21E-04;1.12E-04;1.11E-04;1.08E-04;1.06E-04;9.63E-05;EJ;buildings
CO2B;AK;resid cooling;electricity;6.70E-06;4.85E-05;3.33E-05;3.62E-05;3.64E-05;3.61E-05;3.72E-05;3.86E-05;4.01E-05;4.20E-05;4.42E-05;EJ;buildings
CO2B;AK;resid dishwashers;electricity;0;1.44E-04;1.27E-04;9.96E-05;9.66E-05;9.39E-05;9.31E-05;9.31E-05;9.27E-05;9.71E-05;1.02E-04;EJ;buildings
CO2B;AK;resid freezers;electricity;1.45E-04;1.26E-04;1.01E-04;8.10E-05;7.98E-05;8.05E-05;8.38E-05;8.78E-05;9.20E-05;9.65E-05;1.01E-04;EJ;buildings
CO2B;AK;resid furnace fans;electricity;0;8.86E-05;1.59E-04;1.15E-04;1.01E-04;9.14E-05;8.64E-05;8.32E-05;8.04E-05;8.44E-05;8.85E-05;EJ;buildings
CO2B;AK;resid heating;biomass;0.0012773;9.95E-04;0.00217551;0.0048165;0.004422383;0.004210429;0.004115461;0.0035969;0.002808282;0.001984889;0.00128809;EJ;buildings
CO2B;AK;resid heating;coal;0.00406609;5.34E-04;0;0;0;0;0;0;0;0;0;EJ;buildings
CO2B;AK;resid heating;electricity;0.002896899;0.001800212;0.002425113;0.0029607;0.003376641;0.003556919;0.0040424;0.004740519;0.005526885;0.006479222;0.007412595;EJ;buildings
CO2B;AK;resid heating;gas;0.011049199;0.014248901;0.014673802;0.0136417;0.012391032;0.01154228;0.010352198;0.00890151;0.007346877;0.005709825;0.004294815;EJ;buildings
CO2B;AK;resid heating;refined liquids;0.008147679;0.008013231;0.006729542;0.0039496;0.00355498;0.003275729;0.002876466;0.002400779;0.001870429;0.001340838;8.96E-04;EJ;buildings
CO2B;AK;resid hot water;electricity;8.62E-04;0.00124992;0.00120822;0.00149709;0.001740246;0.001907371;0.002185162;0.002425294;0.002418124;0.002513979;0.002682455;EJ;buildings
CO2B;AK;resid hot water;gas;0.001379522;0.002374233;0.002533744;0.003328778;0.002960577;0.002818498;0.002668759;0.002399635;0.00244602;0.002219234;0.001878287;EJ;buildings
CO2B;AK;resid hot water;refined liquids;2.24E-05;5.00E-04;8.70E-04;6.75E-04;5.75E-04;5.14E-04;4.36E-04;3.19E-04;2.99E-04;2.40E-04;1.67E-04;EJ;buildings
CO2B;AK;resid lighting;electricity;6.41E-04;0.001092189;8.56E-04;5.04E-04;3.29E-04;1.20E-04;1.06E-04;1.05E-04;1.09E-04;1.13E-04;1.18E-04;EJ;buildings
CO2B;AK;resid other;electricity;4.65E-04;0.0015173;0.0014138;0.0011587;0.00127754;0.00127959;0.0013626;0.00139996;0.00146251;0.00161212;0.00175004;EJ;buildings
CO2B;AK;resid other;gas;5.65E-05;0;2.86E-04;2.25E-04;1.61E-04;1.71E-04;1.70E-04;1.88E-04;2.03E-04;1.79E-04;1.58E-04;EJ;buildings
CO2B;AK;resid other;refined liquids;5.35E-05;2.22E-04;3.47E-04;2.43E-04;1.68E-04;1.77E-04;1.73E-04;2.07E-04;2.23E-04;1.89E-04;1.65E-04;EJ;buildings
CO2B;AK;resid refrigerators;electricity;4.86E-04;5.92E-04;4.85E-04;3.80E-04;3.73E-04;3.74E-04;3.86E-04;4.02E-04;4.17E-04;4.37E-04;4.57E-04;EJ;buildings
CO2B;AK;resid televisions;electricity;1.96E-04;4.49E-04;4.34E-04;3.32E-04;2.94E-04;2.77E-04;2.90E-04;3.06E-04;3.22E-04;3.38E-04;3.55E-04;EJ;buildings
CO2B;AK;trn_aviation_intl;electricity;0;0;0;0;0;0;0;6.52E-09;5.78E-08;8.51E-07;1.09E-05;EJ;transportation
CO2B;AK;trn_aviation_intl;hydrogen;0;0;0;0;0;0;0;4.46E-09;9.34E-08;2.57E-06;5.22E-05;EJ;transportation
